iter	Passed	Remaining
0	46	93189
1	105	105600
2	159	106049
3	187	93496
4	210	83872
5	253	84219
6	285	81144
7	322	80286
8	355	78644
9	398	79235
10	439	79523
11	467	77448
12	495	75720
13	508	72112
14	533	70584
15	555	68920
16	601	70144
17	643	70864
18	680	70918
19	719	71196
20	766	72220
21	803	72204
22	835	71794
23	879	72446
24	916	72441
25	947	71953
26	982	71800
27	1014	71475
28	1036	70418
29	1055	69335
30	1090	69272
31	1136	69869
32	1161	69259
33	1191	68904
34	1225	68829
35	1244	67900
36	1273	67588
37	1285	66394
38	1317	66230
39	1359	66618
40	1394	66608
41	1441	67211
42	1491	67864
43	1516	67431
44	1536	66731
45	1566	66552
46	1617	67225
47	1662	67628
48	1710	68124
49	1770	69037
50	1826	69807
51	1868	69978
52	1899	69775
53	1941	69965
54	1977	69930
55	1997	69338
56	2056	70107
57	2088	69919
58	2121	69805
59	2146	69387
60	2195	69801
61	2244	70164
62	2273	69890
63	2318	70129
64	2360	70262
65	2383	69858
66	2406	69433
67	2455	69757
68	2474	69245
69	2512	69261
70	2556	69467
71	2589	69328
72	2634	69556
73	2660	69234
74	2683	68875
75	2726	69029
76	2772	69251
77	2817	69415
78	2866	69712
79	2904	69709
80	2938	69616
81	2982	69750
82	3023	69835
83	3070	70041
84	3123	70374
85	3184	70876
86	3229	71007
87	3278	71231
88	3314	71176
89	3354	71199
90	3408	71494
91	3473	72027
92	3516	72105
93	3564	72267
94	3611	72429
95	3663	72651
96	3700	72592
97	3735	72502
98	3781	72603
99	3840	72977
100	3880	72967
101	3942	73364
102	3975	73221
103	4009	73092
104	4044	72996
105	4088	73061
106	4120	72892
107	4174	73135
108	4218	73189
109	4269	73362
110	4305	73274
111	4340	73173
112	4377	73095
113	4427	73246
114	4464	73186
115	4491	72952
116	4536	73004
117	4590	73207
118	4622	73071
119	4647	72810
120	4676	72625
121	4711	72528
122	4767	72757
123	4806	72725
124	4884	73273
125	4933	73370
126	4960	73161
127	5033	73609
128	5088	73810
129	5120	73656
130	5180	73904
131	5231	74032
132	5266	73929
133	5327	74182
134	5391	74475
135	5433	74466
136	5486	74615
137	5545	74821
138	5572	74609
139	5621	74690
140	5651	74511
141	5677	74291
142	5724	74338
143	5792	74658
144	5865	75031
145	5897	74891
146	5946	74955
147	5975	74770
148	6017	74758
149	6060	74744
150	6107	74791
151	6127	74501
152	6156	74321
153	6174	74014
154	6228	74138
155	6270	74118
156	6303	73990
157	6327	73763
158	6364	73695
159	6395	73550
160	6423	73372
161	6451	73197
